p,length,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.115,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.082,3,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,
0.078,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.044,3,3,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.039,3,2,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
0.033,4,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
0.031,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.026,4,4,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,
0.023,3,2,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.022,4,3,,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,,,,,
0.018,4,2,,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,,,,,,,,,,,
0.016,5,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,
0.012,5,4,,,,,,,,,,,,,,,,,,,,1,2,3,5,,,,,,,,,,,,,,,,
0.012,4,3,4,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.011,4,2,3,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,
0.011,5,3,,,,,,,,,,,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,,,,
0.010,5,5,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
0.010,4,2,4,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
0.009,5,2,,,,,,,,,,,,,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,
