p,length,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.158,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.088,3,1,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,
0.076,3,1,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
0.074,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
0.074,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.056,3,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
0.044,4,1,,,,,,,,,,,,,,,,,,,,2,3,4,,,,,,,,,,,,,,,,,
0.030,4,1,2,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,
0.023,4,1,3,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,
0.022,4,1,4,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,
0.022,5,1,,,,,,,,,,,,,,,,,,,,2,3,4,5,,,,,,,,,,,,,,,,
0.019,5,1,3,,,,,,,,,,,,,,,,,,,2,4,5,,,,,,,,,,,,,,,,,
0.019,4,1,2,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
0.017,4,1,2,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
0.017,5,1,2,,,,,,,,,,,,,,,,,,,3,4,5,,,,,,,,,,,,,,,,,
0.014,5,1,5,,,,,,,,,,,,,,,,,,,2,3,4,,,,,,,,,,,,,,,,,
0.014,5,1,2,3,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,
0.013,5,1,4,,,,,,,,,,,,,,,,,,,2,3,5,,,,,,,,,,,,,,,,,
0.012,6,1,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,,,,,,,,,,,,,,,
0.011,4,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.011,6,1,2,,,,,,,,,,,,,,,,,,,3,4,5,6,,,,,,,,,,,,,,,,
0.010,5,1,2,5,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,
0.009,4,1,3,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
0.009,6,1,4,,,,,,,,,,,,,,,,,,,2,3,5,6,,,,,,,,,,,,,,,,
0.008,6,1,3,,,,,,,,,,,,,,,,,,,2,4,5,6,,,,,,,,,,,,,,,,
0.008,5,1,2,4,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,
0.007,6,1,5,,,,,,,,,,,,,,,,,,,2,3,4,6,,,,,,,,,,,,,,,,
0.007,6,1,6,,,,,,,,,,,,,,,,,,,2,3,4,5,,,,,,,,,,,,,,,,
0.007,6,1,2,3,,,,,,,,,,,,,,,,,,4,5,6,,,,,,,,,,,,,,,,,
0.006,5,1,2,3,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
0.006,7,1,2,,,,,,,,,,,,,,,,,,,3,4,5,6,7,,,,,,,,,,,,,,,
0.006,5,1,3,5,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,
0.006,7,1,3,,,,,,,,,,,,,,,,,,,2,4,5,6,7,,,,,,,,,,,,,,,
0.006,5,1,3,4,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,
0.005,7,1,2,3,,,,,,,,,,,,,,,,,,4,5,6,7,,,,,,,,,,,,,,,,
0.005,7,1,7,,,,,,,,,,,,,,,,,,,2,3,4,5,6,,,,,,,,,,,,,,,
0.005,6,1,2,4,,,,,,,,,,,,,,,,,,3,5,6,,,,,,,,,,,,,,,,,
0.005,6,1,2,5,,,,,,,,,,,,,,,,,,3,4,6,,,,,,,,,,,,,,,,,
0.005,6,1,3,5,,,,,,,,,,,,,,,,,,2,4,6,,,,,,,,,,,,,,,,,
0.005,7,1,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,7,,,,,,,,,,,,,,
